indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,91.8(07/nov),8,7.8,42,14.4,42.0(01/ago),24.2,65,29/24.2(05/mar),13,63,0,62,2.2(29/ene),5,10665,556.8,17,13,0,10.8,19,23.6,44,2006-13,1,80,0,353,44,1039.2(31/dic),1016.6,0,96,225,1,0,1001.5(27/ene),64,1017.4,145,NA
6155A,7.0(29),0,6.7,4,6.1,22.0(04),11.2,0,10/26.9(28),0,68,1,6,1.0(27),0,477,14.8,0,13,0,11.8,11.8,17.5,4,2007-01,0,7,0,373,2,1038.5(01),1024.8,0,13,16,0,0,1005.9(26),69,1025.6,99,NA
6155A,4.8(04),0,6.2,8,10.2,25.2(28),13.8,0,31/18.1(09),0,57,0,8,5.0(01),0,599,22.3,0,13,0,14.2,14.7,19.3,7,2007-02,0,9,0,381,5,1026.7(27),1019.3,0,2,21,0,0,1009.5(08),67,1020.1,115,NA
6155A,3.5(26),1,8.6,10,9.3,24.6(02),15.8,0,34/30.0(07),0,72,1,2,4.6(12),0,1004,3.9,0,18,0,16.2,14.9,20.4,1,2007-03,0,4,0,441,0,1029.9(10),1019,0,11,20,0,0,1008.6(24),54,1019.8,95,NA
6155A,45.8(09),0,6.4,2,11.6,26.0(29),15.4,0,32/16.4(04),2,48,0,11,6.4(03),1,553,98.7,2,13,0,15.2,16,20.3,7,2007-04,0,13,0,310,10,1020.7(24),1014.5,0,3,17,0,0,1008.1(01),68,1015.3,126,NA
6155A,24.7(21),0,10.2,4,15.2,33.0(11),19.5,5,33/16.9(05),2,72,0,7,12.0(02),0,1611,44.5,5,15,0,16.4,20.6,26,5,2007-05,1,8,0,378,1,1025.5(08),1014.6,0,9,21,0,0,1005.8(20),49,1015.4,122,NA
6155A,0.0(--),0,12.4,0,18.8,36.6(25),23,13,32/15.0(25),0,85,0,0,14.6(02),0,1756,0,0,16,0,24,24,29.2,0,2007-06,0,0,0,378,0,1020.3(02),1013.7,0,14,16,0,0,1007.4(18),51,1014.5,155,NA
6155A,0.0(--),1,12.5,0,20.6,38.2(04),22.8,15,30/15.0(02),0,87,0,0,18.0(01),0,1741,0,0,15,0,25.8,25.8,31.1,0,2007-07,0,0,0,336,0,1020.3(10),1014.5,0,27,4,0,0,1007.3(23),52,1015.3,177,NA
6155A,12.1(22),0,9.7,0,21.7,37.5(29),24.4,20,29/13.9(16),1,72,0,1,18.4(15),0,1331,12.1,0,13,0,26.8,26.7,31.8,1,2007-08,0,2,0,298,1,1020.2(04),1012,0,14,16,0,0,1002.3(21),55,1012.8,192,NA
6155A,12.2(12),0,7.9,1,19.2,32.0(27),22.8,3,28/19.2(21),2,63,0,7,16.4(24),0,949,32.4,6,11,0,25.8,23.6,28,5,2007-09,0,7,0,266,5,1021.8(25),1016,0,9,16,0,0,1007.9(27),66,1016.8,190,NA
6155A,17.9(24),0,7.9,0,16,29.4(22),20,0,24/15.0(25),1,70,0,6,13.0(26),0,956,32.3,4,13,0,20.4,20.4,24.8,4,2007-10,0,7,0,333,3,1022.7(09),1016.5,0,4,24,0,0,1008.1(24),67,1017.3,159,NA
6155A,9.6(20),0,6.5,1,10.8,25.0(14),17.9,0,22/19.7(20),0,64,0,5,5.8(27),0,498,21.5,0,12,0,13,15.5,20.3,4,2007-11,0,5,0,321,4,1026.8(07),1017.2,0,5,21,0,0,1007.3(22),70,1018,128,NA
6155A,46.1(22),0,5.5,9,9,22.0(07),15,0,29/19.7(07),4,56,0,9,4.0(16),1,686,110.2,3,15,0,13,13.5,18,6,2007-12,0,11,0,434,6,1030.7(28),1022.5,0,7,18,0,0,1011.3(21),69,1023.3,110,NA
6155A,46.1(22/dic),2,8.4,39,14,38.2(04/jul),24.4,56,34/30.0(07/mar),12,68,2,62,1.0(27/ene),2,12161,392.7,20,14,0,11.8,19,23.9,44,2007-13,1,73,0,354,37,1038.5(01/ene),1017.1,0,118,210,0,0,1002.3(21/ago),61,1017.9,139,NA
6155A,14.8(14),2,6.7,9,8.5,21.2(06),13.6,0,23/18.1(03),1,67,0,6,3.6(13),0,509,28.6,0,14,0,12.8,13.1,17.7,4,2008-01,0,6,0,373,4,1034.2(27),1023.6,0,10,17,1,0,1001.8(03),70,1024.4,109,NA
6155A,9.0(19),3,5.3,3,11.2,23.0(28),14,0,12/18.1(13),0,49,0,6,6.8(01),0,571,27.8,1,16,0,15.4,14.7,18.3,5,2008-02,0,7,0,406,9,1031.5(06),1022.6,0,3,17,1,0,1015.1(14),70,1023.5,119,NA
6155A,16.3(20),1,8.9,9,10.8,27.0(28),15,0,28/23.6(22),1,74,0,3,5.6(07),0,1831,22.1,1,18,0,16,16.2,21.5,3,2008-03,0,3,0,454,3,1026.8(01),1015.9,0,9,19,0,0,999.7(22),54,1016.7,102,NA
6155A,20.0(08),0,8.8,6,11.5,26.0(06),15.8,0,24/23.6(07),2,67,0,8,7.4(03),0,1525,46.5,2,15,0,17,16.9,22.3,7,2008-04,0,9,0,355,4,1027.0(25),1014.1,0,7,19,0,0,1000.3(18),57,1014.9,115,NA
6155A,3.0(27),0,9,2,15.2,31.9(22),20.6,2,23/16.9(18),0,64,0,6,11.6(26),0,1954,7.7,1,15,0,20.4,20.2,25.1,3,2008-05,0,11,0,358,3,1020.4(03),1011.6,0,0,28,0,0,1005.3(27),53,1012.4,130,NA
6155A,0.0(--),1,12.6,0,18.2,35.5(24),22.6,9,08/15.0(06),0,86,0,0,15.4(05),0,1662,0,0,14,0,22.5,23.1,28,0,2008-06,0,0,0,322,0,1020.0(20),1015,0,21,9,0,0,1006.5(16),58,1015.8,171,NA
